bassa,traduction
kiň,la voix
djoo,le cou
kine,le chef
kaasa,roi
kaat,le cahier
kobot,l'armoire
kôyôp,rouge
kômôl,noisettes
kengle,evite
kembe,le mouton
kunde,la liberté
kel,le jour
kekela,le matin
kossi,le midi
kôkôa,le soir
hikanga,arête
kul,la tortue
kôp,le poulet
ba,ils
bo,eux
béé,vous
bés,nous
banigil,les élèves les étudiants
banga,le chiffre ou bien important
buk,le mot
bilama,la beauté
bisimba,le malheur
bot,le sac
bidjek,la nourriture
boma,la réunion
bisaï,bénédiction
bape,les autres
biték,la terre
bôlô,le travail
bas,le sel
bigda,le souvenir
béba,mauvais
bumbul,récolte
boña,cerveau
lama,beau
lambe,la lampe
land,remontées acides
lañ,lait de noix de palmistes
lébla,ouvrier
léman,le miroir
lém,animal domestique
lèm,caractère
lembè,mentir
lémés,embellir
lelaa,comment
lép,le cours d'eau
let,dur
lédés,encourager
likoga,la porte
liké,la marche
lisongol,la lecture
likubé,la banane douce
likondo,banane plantin
lihaa,la famille
likala,le beignet
likalô,message
likaa,l'inceste
lipém,la gloire
lihon,la graisse
lion,la gourmandise
lisôô,l'igname
litôa,la voiture
libum,le ventre
libaï,la gifle
longè (hiémbi),chanter
lisolbènè,le refuge
lipamal,l'arrogance
liyès,la ventardise
lisuni,le froid
lihep,le froid
libadô,le pagne
libimbè,rougeole
lisayap,la bénédiction
lôg,tribu (famille)
lima,ignorer (se taire)
longè,bien
lipubi,la propreté
libéé,le sein
liwanda,l'ami
lituba,le trou
lingwan,la richesse
libem,grenouille (goliath)
lôm,l'époux
luk,les toilettes
liyep,la pauvreté
libii,mariage
likeň,la salive la bave
èe,arbre
énél,autorité
éble /ep,envoyer
éba,montrer
emble,écouter
emel,rêver
eem,rêve
ét,lourd
ébél,gobelet
édél,avec (ni)
él =,débroussailleuse
émbél,piège
émblenè,appât
éña,lieu de lecture
enng,habit
eñngbana,vestiaire
épnana,présentoire
djala,le crabe
djaï,le chasse mouche
django,la chasse
djob,dieu
djôb (djem),le nombril (mon)
djôb (i ndap),entrer (dans la maison)
djibè,les ténèbres 
djimb,apparté 
djomb,le paquet
dju,dans la nuit ( u la nuit)
djém,enceinte
djem,le drame
djam,quelque chose
djimba,le bouchon
djas,le menton
djis,l'œil (pluriel mis)
djôl,le nez
djoï,le nom
djon,donc
djumbul,le nid
dibôlô,les boutons d'acné
djin,mixture médicamenteuse djuem => huit
djôm,dix
djangôlô,la mangue
diban,les cailloux
dje,manger
ngwéha,l'amour
nyambe,dieu
ngand,la fète
ndap,la maison
nop,la pluie
ngi,le ciel
ngangô,le parapluie
nun,regarde
ndjiñ,l'odeur
ndjel,le chemin
ndjamua,le jour
nkônô,le gâteau
niiga,apprendre
nuga,une bête l'animal
nlom,le mari
ndjin,l'odeur
ngan,le crocodile
nyunga,la vente
ndjon,la jalousie
ndenga,la torture
ndéng,la drague
ndumba,la peine
nyo,la bouche
nyoo,le serpent
nyaga,la crevette
ndôg,ceux-là
nyuu,le corps
ngim,entier
ñoo,la tête
nip,dérober
nyanga,la toilette
nyemb,la mort
pala,se dépêcher
pot /pod,parler
posa,porte monnaie
puba,blanc
pôs,tromper
pam,sors
popoda,bavardage
péba,papier
pem,la craie
pébéé,cafard
pan,assiette
puma,orange
pada,prêtre
péda,petit
piya,avocat
pelè,case
paga,poisson fumée
pék/pég,idée
pek,stopper
pal,la patte
pôndi,un fut
pôla,le milieu
pes,bousculer
péé,vipère
poo,plaie
pôôs,emprunter
pémés,sortir 
poños,la moelle
pén,peinture
pénda,doute
pesba,pousse toi 
pulè,tôt
pééna,nier
paf,bouillie
pombè,fontaine
pôdôl,parole
pep,souffler
pôôna,ressemblance
puu,duper
pagbe,coincer
pil,la dette
pobo,papaye
tidbe/teble,piétiner
tagbe,passe
tôde,réveille toi
timbis,remets
ténga,déranger
telep,debout
tibil,arrange
témb,retourne
tehe,voir
top,chanter
titii,image
tohi,sauvé
tisba,toucher
tungul,mélanger
tok,la cuillère
tômblô,le verre
tamba,le chapeau
haba,l'habillement
hiandi,le piège
hana,ici
hanano,maintenant
hianga,le soleil
héa,enlever
hee,où
hémle,la foi
helba,se tourner
helel,remplacer
hep,le froid
hiembi,le chant
hilémb,la langue
hiloba,le piment
hilolombi,dieu
hiliba,la clé
hinuni,l'oiseau
hiodot,l'étoile
hiol,le rire
hiobi,le poisson
hiôn,le cheveu
hiôndè,l'arachide
hison,la honte
hiun,la colère
hogbé,le bonheur
hôla,l'aide
holè,le balai
homa,endroit
honol,penser
hônba,la patience
hop,la parole
hôya,l'oubli
